color,from,nikename,parent,subparent,l,a,b
奶棕,DIC中国传统色,,白,棕,68.89009851,11.61866246,9.69423231
栗棕,perchouli,,赤,棕,22.90235857,35.98772375,25.68667081
栗棕,中国色名综览_凑幸卫,,黑,棕,30.69821491,25.5379923,11.87853527
棕茶色,中国美色_中国国家地理,,黄,棕,55.37201783,20.08244722,40.84540376
鹿皮棕,DIC中国传统色,,黄,棕,65.84349637,6.203049965,36.43257714
米棕,绞丝染色基本色谱,,黄,棕,75,19,37
深米棕,绞丝染色基本色谱,,黄,棕,66,28,42
棕红,国标GB/T 31430-2015,棕红,黑,棕,31.8,18.6,12
棕红,DIC中国传统色,,黑,棕,39.58328406,18.84888451,14.51697304
红棕,染色样本纳夫妥类_何进丰,,赤,棕,47,23,20
红棕,涤棉色谱_何进丰,,赤,棕,47,27,27
棕红,DIC中国传统色,,黑,棕,39.58328406,18.84888451,14.51697304
浅红棕,涤棉色谱_何进丰,,黄,棕,66,19,27
棕叶绿,中国色名综览_凑幸卫,,黄,棕,56.18803313,1.745283489,40.84557828
棕榈绿,perchouli,,黑,棕,32.07089708,4.813813415,39.96886853
棕灰,国标GB/T 31430-2015,棕灰（灰棕）a,白,棕,68.5,6.9,8.1
浅棕灰,DIC中国传统色,,白,棕,86.58204182,0.027888622,11.02956925
肉棕灰,DIC中国传统色,,白,棕,67.98191381,8.796203791,16.04486986
中棕灰,DIC中国传统色,,青,棕,63.90307229,0.612714382,18.92441008
浅棕灰,DIC中国传统色,,白,棕,86.58204182,0.027888622,11.02956925
肉棕灰,DIC中国传统色,,白,棕,67.98191381,8.796203791,16.04486986
深紫酱,涤棉色谱_何进丰,,黑,"紫
",28,22,5
葡萄酱紫,perchouli,,赤,"紫
",20.93873702,39.78843555,25.25687815
葡萄酱紫,中国色名综览_凑幸卫,,黑,"紫
",30.76053371,30.63353902,10.46589907
酱紫,国标GB/T 31430-2015,紫酱,黑,"紫
",29.4,23.9,4.6
酱紫,perchouli,紫酱,黑,"紫
",17.08397323,35.54415731,18.44697349
酱紫,中国美色_中国国家地理,紫酱,黑,"紫
",36.33097456,40.99175869,-43.6772414
酱紫,中国色名综览_凑幸卫,紫酱,黑,"紫
",30.69478023,27.21729645,4.48278126
紫瓯,故宫里的色彩美学_郭浩,,赤,紫,37.50502411,27.61618328,40.48059763
紫磨金,故宫里的色彩美学_郭浩,,赤,紫,62.36006415,26.21621201,25.429546
丹紫红,perchouli,,赤,紫,59.12467159,64.34774981,0.334647113
丹紫红,人造丝绸缎色谱_何进丰,,赤,紫,60,46,1
丹紫红,中国色名综览_凑幸卫,,赤,紫,54.06657942,39.92430893,-15.82539008
苏木紫,中国色名综览_凑幸卫,,黑,紫,51.57717205,11.4096492,-1.059090876
