color,from,nikename,parent,subparent,l,a,b
三绿,DIC中国传统色,三绿（粉绿1957、中国色名综览_凑幸卫、鸿洋）a,青,绿,77.67149648,-24.1357791,8.458185052
三绿,中国色名综览_凑幸卫,三绿（粉绿1957、中国色名综览_凑幸卫、鸿洋）a,青,绿,74.04457368,-23.89130436,2.086162151
三绿,中国传统色彩图鉴_鸿洋,三绿（粉绿1957、中国色名综览_凑幸卫、鸿洋）a,青,绿,85.64926858,-102.198829,31.9356976
浅草绿,国标GB/T 31430-2015,嫩草绿色,黄,绿,73.5,-19.4,71.8
浅草绿,DIC中国传统色,嫩草绿色,黄,绿,78.63477982,-25.48079851,36.28042346
柳绿,国标GB/T 31430-2015,柳绿,青,绿,70.9,-21.9,29.9
柳绿,中国传统色彩图鉴_鸿洋,柳绿,青,绿,69.42996013,-63.34141873,45.47037759
明绿,国标GB/T 31430-2015,高绿（明绿）a,黄,绿,67.5,-34,49
明绿,perchouli,高绿（明绿）a,青,绿,77.22630109,-29.03452966,9.46447219
明绿,中国色名综览_凑幸卫,高绿（明绿）a,青,绿,81.34787029,-18.25515106,0.833228603
石绿,国标GB/T 31430-2015,青绿,青,绿,70.8,-29.2,8
石绿,perchouli,青绿,青,绿,70.66108135,-48.61675675,-13.9646508
石绿,故宫里的色彩美学_郭浩,青绿,青,绿,37.8388719,-37.53217049,-7.785228849
石绿,中国颜色_黄仁达,青绿,青,绿,57.00957796,-69.14035728,43.45540405
石绿,中国美色_中国国家地理,青绿,青,绿,57.00957796,-69.14035728,43.45540405
石绿,中国色名综览_凑幸卫,青绿,青,绿,74.03006303,-20.62329357,-7.565615991
碧绿,国标GB/T 31430-2015,碧绿 HRD:碧色 古色：碧,青,绿,66,-41.6,5.5
碧绿,中国颜色_黄仁达,碧绿 HRD:碧色 古色：碧,青,绿,84.08175299,-123.3483812,50.80868025
碧绿,古色之美_青简,碧绿 HRD:碧色 古色：碧,青,绿,57.62560917,-79.06641064,16.31733969
碧绿,中国传统色彩图鉴_鸿洋,碧绿 HRD:碧色 古色：碧,青,绿,85.59443573,-105.3246662,52.96787472
秋香绿,国标GB/T 31430-2015,秋香绿,黄,绿,65.7,-8.7,51.9
深翠绿,涤棉色谱_何进丰,涤棉：深翠录,青,绿,43,-31,3
深翠绿,涤棉色谱_何进丰,涤棉：深翠录,青,绿,43,-34,-1
葱根绿,国标GB/T 31430-2015,葱绿：1957、鸿洋、中国色名综览_凑幸卫  古色：葱色,青,绿,65.5,-24.4,36.3
葱根绿,perchouli,葱绿：1957、鸿洋、中国色名综览_凑幸卫  古色：葱色,青,绿,57.23404287,-61.20534396,14.16646063
葱根绿,DIC中国传统色,葱绿：1957、鸿洋、中国色名综览_凑幸卫  古色：葱色,黄,绿,75.21773375,-31.78159007,44.0224049
葱根绿,中国颜色_黄仁达,葱绿：1957、鸿洋、中国色名综览_凑幸卫  古色：葱色,黄,绿,82.38950057,-72.65876411,62.61586907
葱根绿,古色之美_青简,葱绿：1957、鸿洋、中国色名综览_凑幸卫  古色：葱色,青,绿,78.51499603,-124.1289327,67.65610822
葱根绿,中国色名综览_凑幸卫,葱绿：1957、鸿洋、中国色名综览_凑幸卫  古色：葱色,青,绿,64.06300228,-34.25392902,8.085363332
葱根绿,中国传统色彩图鉴_鸿洋,葱绿：1957、鸿洋、中国色名综览_凑幸卫  古色：葱色,黄,绿,86.66555715,-96.58056606,88.86494302
豆绿,国标GB/T 31430-2015,豆绿,青,绿,63.4,-13.8,18.9
豆绿,中国颜色_黄仁达,豆绿,黄,绿,83.58959597,-86.03856024,86.39367265
豆绿,染作江南春水色_金成熺,豆绿,青,绿,69.22,-14.49,7.85
豆绿,古色之美_青简,豆绿,黄,绿,87.58030239,-87.62122363,88.40767426
豆绿,绞丝染色基本色谱,豆绿,青,绿,47,-12,18
豆绿,中国色名综览_凑幸卫,豆绿,青,绿,61.66164778,-51.75001546,45.36551962
豆绿,中国传统色彩图鉴_鸿洋,豆绿,黄,绿,86.58677526,-89.20786848,88.13479687
灰绿,国标GB/T 31430-2015,灰绿,青,绿,63.4,-13.8,18.9
灰绿,perchouli,灰绿,黄,绿,47.80942031,10.41700648,56.70007897
灰绿,DIC中国传统色,灰绿,青,绿,58.24504576,-13.94750698,-2.077119964
灰绿,中国色名综览_凑幸卫,灰绿,黄,绿,54.13729657,1.793211668,47.29634728
沙绿,国标GB/T 31430-2015,土绿,青,绿,60.5,-19.8,4.1
沙绿,DIC中国传统色,土绿,青,绿,33.29949582,-23.88453299,-5.215350583
艾绿,国标GB/T 31430-2015,艾绿,青,绿,56.5,-28.8,14.8
艾绿,perchouli,艾绿,白,绿,83.62600934,-6.905129258,5.890002976
艾绿,中国颜色_黄仁达,艾绿,黄,绿,63.04547508,-24.03421537,66.41822813
艾绿,古色之美_青简,艾绿,青,绿,84.86087291,-26.80516006,13.64938122
艾绿,中国美色_中国国家地理,艾绿,青,绿,89.52258614,-65.73197247,26.51566183
艾绿,中国色名综览_凑幸卫,艾绿,白,绿,76.53150103,-7.751689312,-1.783782993
艾绿,中国传统色彩图鉴_鸿洋,艾绿,青,绿,82.38427634,-96.04427151,55.59932314
桑皮绿,中国色名综览_凑幸卫,,青,绿,75.52125052,-14.74935255,-0.056009204
深果绿,染色样本士林类_何进丰,,青,绿,47,-42,9
深果绿,绞丝染色基本色谱,,青,绿,44,-30,27
中果绿,染色样本士林类_何进丰,,青,绿,57,-39,11
浅嫩绿,涤棉色谱_何进丰,浅嫩录：涤棉,黄,绿,77,-27,45
浅嫩绿,涤棉色谱_何进丰,浅嫩录：涤棉,白,绿,85,-24,32
暗绿,涤棉色谱_何进丰,,青,绿,42,-11,5
深草绿 ,涤棉色谱_何进丰,,黑,绿,33,-6,4
深草绿 ,涤棉色谱_何进丰,,黑,绿,34,-7,12
深草绿 ,涤棉色谱_何进丰,,黑,绿,38,-8,14
深草绿 ,涤棉色谱_何进丰,,黑,绿,38,-9,11
深草绿 ,涤棉色谱_何进丰,,黑,绿,39,-12,14
深草绿 ,涤棉色谱_何进丰,深草录：涤棉,青,绿,40,-13,17
果绿,国标GB/T 31430-2015,果绿,青,绿,55.8,-33.7,28.2
果绿,DIC中国传统色,果绿,青,绿,73.31997274,-28.42505705,22.65989401
果绿,染色样本士林类_何进丰,果绿,青,绿,66,-30,13
果绿,绞丝染色基本色谱,果绿,青,绿,56,-32,32
果绿,涤棉色谱_何进丰,果绿,青,绿,66,-37,29
草绿,国标GB/T 31430-2015,草绿,青,绿,55.5,-23.7,26
草绿,中国颜色_黄仁达,草绿,黄,绿,74.11615904,-96.71679948,79.58084685
草绿,人造丝绸缎色谱_何进丰,草绿,黄,绿,55,10,25
草绿,中国色名综览_凑幸卫,草绿,青,绿,41.17305166,-21.56004289,16.68474086
草绿,中国传统色彩图鉴_鸿洋,草绿,黄,绿,85.14569118,-112.8988333,82.96545751
紫杉绿,中国色名综览_凑幸卫,,黑,绿,33.62058343,-21.10681967,15.21051759
黄绿,国标GB/T 31430-2015,黄绿,青,绿,55.1,-4.6,28.1
黄绿,DIC中国传统色,黄绿,黄,绿,65.42277255,-18.51150664,42.23084393
祖母绿,国标GB/T 31430-2015,翡翠绿：绞丝 ,青,绿,51.3,-46.8,12.1
祖母绿,中国颜色_黄仁达,翡翠绿：绞丝 ,青,绿,42.19248389,-62.82609947,28.54338878
祖母绿,绞丝染色基本色谱,翡翠绿：绞丝 ,青,绿,55,-38,3
祖母绿,钧瓷色彩的特征与分类体系研究_王庆斌,翡翠绿：绞丝 ,黄,绿,50.88176566,-45.32748535,60.66851349
中绿,国标GB/T 31430-2015,中绿,青,绿,45.5,-28.3,23.9
中绿,染色样本士林类_何进丰,中绿,青,绿,50,-41,-6
中绿,染色样本纳夫妥类_何进丰,中绿,黑,绿,38,23,-9
中绿,染色样本硫化类_何进丰,中绿,黑,绿,36,-10,-2
官绿,国标GB/T 31430-2015,绿蓝,青,绿,44.7,-34.8,-3.7
官绿,乾隆色谱,绿蓝,黑,绿,35,-17,16
官绿,故宫里的色彩美学_郭浩,绿蓝,青,绿,39.215047,-51.98169743,19.82931197
橄榄绿,国标GB/T 31430-2015,橄榄绿,黑,绿,43.5,-0.9,30.5
橄榄绿,perchouli,橄榄绿,黑,绿,35.31124301,-1.273192397,42.92401216
橄榄绿,DIC中国传统色,橄榄绿,黑,绿,39.82755823,-6.421688387,25.15176467
橄榄绿,人造丝绸缎色谱_何进丰,橄榄绿,青,绿,46,-11,24
橄榄绿,中国色名综览_凑幸卫,橄榄绿,黄,绿,41.21701955,-6.618522363,41.22189127
茶绿,涤棉色谱_何进丰,茶绿 涤棉：茶录,青,绿,52,-12,30
茶绿,国标GB/T 31430-2015,茶绿 涤棉：茶录,黑,绿,41.2,-2.8,10.3
茶绿,DIC中国传统色,茶绿 涤棉：茶录,青,绿,43.08153053,-5.98093072,9.976561111
茶绿,涤棉色谱_何进丰,茶绿 涤棉：茶录,青,绿,56,-13,30
绿色,涤棉色谱_何进丰,涤棉：录色,青,绿,56,-43,8
绿色,中国颜色_黄仁达,涤棉：录色,黄,绿,84.04126002,-127.3069438,91.22459755
绿色,古色之美_青简,涤棉：录色,青,绿,62.69630744,-73.72177168,21.96877906
绿色,中国美色_中国国家地理,涤棉：录色,黄,绿,84.04126002,-127.3069438,91.22459755
绿色,涤棉色谱_何进丰,涤棉：录色,青,绿,56,-37,19
深绿,中国传统色彩图鉴_鸿洋,涤棉：深录,青,绿,54.58333883,-88.12834271,64.38069893
深绿,涤棉色谱_何进丰,涤棉：深录,青,绿,39,-26,10
蘋婆绿,国标GB/T 31430-2015,松柏绿：鸿洋（深绿）a染样1/2 明,青,绿,39.4,-30.3,4.3
蘋婆绿,染色样本士林类_何进丰,松柏绿：鸿洋（深绿）a染样1/2 明,青,绿,38,-41,-7
蘋婆绿,染色样本纳夫妥类_何进丰,松柏绿：鸿洋（深绿）a染样1/2 明,黑,绿,32,-22,-8
蘋婆绿,中国美色_中国国家地理,松柏绿：鸿洋（深绿）a染样1/2 明,青,绿,74.17165044,-104.2041927,54.40661349
蘋婆绿,中国传统色彩图鉴_鸿洋,松柏绿：鸿洋（深绿）a染样1/2 明,青,绿,32.5036352,-44.85094669,24.61713058
深墨绿,染色样本硫化类_何进丰,涤棉：深墨录,黑,绿,28,-9,-4
深墨绿,涤棉色谱_何进丰,涤棉：深墨录,黑,绿,34,-15,-2
墨绿,国标GB/T 31430-2015,墨绿,黑,绿,38.7,-11.8,6.7
墨绿,DIC中国传统色,墨绿,黑,绿,35.00337457,-11.47306487,3.14263874
墨绿,染色样本士林类_何进丰,墨绿,青,绿,27,-111,-7
墨绿,染色样本硫化类_何进丰,墨绿,黑,绿,27,-7,-6
海带绿,中国色名综览_凑幸卫,,黑,绿,41.21692356,-7.151237379,1.849489316
油绿,国标GB/T 31430-2015,油绿,黑,绿,34.4,-6.5,3.9
油绿,perchouli,油绿,黑,绿,20.93321777,-23.88731145,13.6409902
油绿,DIC中国传统色,油绿,黑,绿,39.12587633,-8.094298388,3.916563222
油绿,故宫里的色彩美学_郭浩,油绿,青,绿,45.16382874,-17.63654426,11.04588131
油绿,染作江南春水色_金成熺,油绿,青,绿,58.03,-0.84,16.2
油绿,中国色名综览_凑幸卫,油绿,青,绿,45.02607288,-10.04262484,3.156933198
油绿,中国传统色彩图鉴_鸿洋,油绿,黄,绿,84.17627106,-125.5080393,91.36851323
冬青绿,中国色名综览_凑幸卫,,青,绿,45.02369041,-10.3978919,3.327610473
深铬绿,中国色名综览_凑幸卫,,黑,绿,33.66676676,-10.41928816,3.312994733
赭绿,国标GB/T 31430-2015,棕绿：鸿洋,黑,绿,33.8,-2.4,11.1
赭绿,中国传统色彩图鉴_鸿洋,棕绿：鸿洋,黄,绿,43.73632022,-16.98915718,55.32888683
大绿,国标GB/T 31430-2015,大绿,青,绿,33.1,-29.4,11.3
浅灰绿,中国色名综览_凑幸卫,,白,绿,71.57841164,-0.456738724,18.41555524
淡灰绿,perchouli,,黄,绿,65.93165913,-2.425037032,43.67212236
淡灰绿,DIC中国传统色,,白,绿,78.93053413,-9.21643133,5.923187836
淡灰绿,中国色名综览_凑幸卫,,青,绿,51.57712805,-6.447421304,4.085913574
新禾绿,perchouli,,黄,绿,74.53557947,2.719088466,82.33239107
新禾绿,中国色名综览_凑幸卫,,黄,绿,76.5166681,-4.752268989,55.97050892
潭水绿,perchouli,,黑,绿,37.71488792,-0.349707168,37.82744849
潭水绿,中国色名综览_凑幸卫,,黑,绿,41.18825466,-3.233637637,18.97954591
碧螺春绿,perchouli,,黄,绿,48.93106821,2.902382049,55.8957897
碧螺春绿,中国色名综览_凑幸卫,,黄,绿,54.13409539,-8.154860956,50.35456882
苔绿,perchouli,,黄,绿,50.02571866,2.330804997,52.57095706
苔绿,中国色名综览_凑幸卫,,黄,绿,54.14867987,-5.903488017,33.95220771
草灰绿,perchouli,,黄,绿,54.5490556,-0.302396599,34.03423952
草灰绿,中国色名综览_凑幸卫,,青,绿,54.15998883,-2.896944515,18.55287266
棕叶绿,中国色名综览_凑幸卫,,黄,绿,56.18803313,1.745283489,40.84557828
棕榈绿,perchouli,,黑,绿,32.07089708,4.813813415,39.96886853
枯绿,perchouli,,黄,绿,62.84672616,11.4890182,71.94984418
枯绿,DIC中国传统色,,黄,绿,72.0593975,-6.513575547,34.48666561
枯绿,人造丝绸缎色谱_何进丰,,黄,绿,75,3,53
枯绿,中国美色_中国国家地理,,黄,绿,71.96277283,-25.50531162,40.34596106
枯绿,中国色名综览_凑幸卫,,黄,绿,61.6566488,1.596613768,48.65944777
黛绿,中国美色_中国国家地理,,青,绿,38.40190564,-30.74376509,-5.882101364
黛绿,中国传统色彩图鉴_鸿洋,,青,绿,38.40190564,-30.74376509,-5.882101364
暗海水绿,perchouli,,黑,绿,31.05036824,4.58778515,36.58965464
暗海水绿,中国色名综览_凑幸卫,,黄,绿,45.9857687,1.803840638,34.18948952
粽叶绿,perchouli,,黄,绿,47.12151109,9.454628314,54.09803996
蜥蜴绿,perchouli,,黄,绿,44.12366045,14.55207499,48.56483843
蜥蜴绿,中国色名综览_凑幸卫,,黄,绿,55.29290424,1.578266056,33.83191573
古铜绿,perchouli,,黑,绿,27.23223533,10.5553317,29.41029907
古铜绿,中国色名综览_凑幸卫,,黑,绿,46.00618803,1.645192133,16.62857272
焦茶绿,perchouli,,黑,绿,27.31185164,12.49694073,31.59711221
焦茶绿,中国色名综览_凑幸卫,,黑,绿,46.5367209,1.76835939,25.82225145
蟹壳绿,perchouli,,黑,绿,26.93190333,9.625246392,25.3901842
蟹壳绿,中国色名综览_凑幸卫,,青,绿,55.3001264,1.534901327,20.99626507
石绿,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,,青,绿,39.65,-27.62,10.5
石绿,古色之美_青简,,青,绿,86.75589647,-89.01192473,19.46418864
砂绿,乾隆色谱,,黄,绿,49,-21,49
美蝶绿,perchouli,,青,绿,60.21282458,-63.20792683,-8.260467749
美蝶绿,中国色名综览_凑幸卫,,青,绿,66.49326738,-36.75509037,-10.3319483
竹绿,perchouli,,青,绿,58.70782199,-69.92900535,3.963846405
竹绿,中国色名综览_凑幸卫,,青,绿,67.43151304,-38.88645408,-4.325110241
亚丁绿,perchouli,,青,绿,49.63907788,-40.1710677,-0.53880983
亚丁绿,中国色名综览_凑幸卫,,青,绿,61.62264019,-12.85172553,-3.973384802
海王绿,perchouli,,青,绿,45.91426438,-53.03363185,2.749701396
海王绿,中国色名综览_凑幸卫,,青,绿,53.95013308,-23.15386487,-4.293634689
深海绿,perchouli,,黑,绿,19.69738395,-24.41448445,0.478008432
深海绿,中国色名综览_凑幸卫,,青,绿,41.1205401,-12.83755371,-3.846532813
沼绿,中国色名综览_凑幸卫,,黑,绿,33.72245366,-6.660582759,-3.142163348
麦苗绿,perchouli,,青,绿,66.76472379,-62.08173262,12.65190563
麦苗绿,中国色名综览_凑幸卫,,青,绿,77.49146811,-29.30565919,7.249308928
青矾绿,perchouli,,青,绿,53.58749804,-59.28194762,3.593811961
青矾绿,中国色名综览_凑幸卫,,青,绿,63.26744849,-34.93072834,-4.706294648
苍绿,perchouli,,黑,绿,21.57853796,-20.82053974,0.227622961
苍绿,DIC中国传统色,,青,绿,42.45688528,-11.93573066,13.77177667
苍绿,中国美色_中国国家地理,,青,绿,33.63326125,-35.16620242,23.97951272
苍绿,中国色名综览_凑幸卫,,青,绿,46.54071269,-6.98929493,-3.521909172
飞泉绿,perchouli,,青,绿,44.59639125,-27.77156623,0.13930555
飞泉绿,中国色名综览_凑幸卫,,青,绿,56.70374958,-7.192546407,-3.861241748
甘蓝绿,中国色名综览_凑幸卫,,黑,绿,41.21690305,-7.105996092,-3.449240817
莽丛绿,perchouli,,黑,绿,6.603319609,-7.264604496,0.002156295
莽丛绿,中国色名综览_凑幸卫,,黑,绿,30.76033983,-6.773688548,-3.09537774
梧枝绿,perchouli,,青,绿,62.7023093,-35.77388394,0.521889871
梧枝绿,中国色名综览_凑幸卫,,青,绿,71.55488377,-12.28512297,-4.062826515
土耳其玉绿,中国色名综览_凑幸卫,,青,绿,74.00805438,-20.33928369,-11.54556974
铜绿,perchouli,,青,绿,61.18540603,-70.62084485,7.148444155
铜绿,中国颜色_黄仁达,,青,绿,76.34655255,-69.63122535,25.26727617
铜绿,中国美色_中国国家地理,,青,绿,74.34373812,-37.69411721,24.30746507
铜绿,中国传统色彩图鉴_鸿洋,,青,绿,60.71326443,-60.99815891,13.74083891
草原远绿,perchouli,,青,绿,73.5091556,-20.56346355,1.476780486
草原远绿,中国色名综览_凑幸卫,,白,绿,76.53121382,-7.261174856,-4.3241042
蛙绿,perchouli,,青,绿,64.7874629,-67.12906701,11.4348366
蛙绿,中国色名综览_凑幸卫,,青,绿,71.53955565,-33.2154138,4.043301197
浪花绿,perchouli,,青,绿,69.7686633,-19.18602494,1.476112866
浪花绿,中国色名综览_凑幸卫,,白,绿,75.00141146,-7.183312239,-4.239257805
苷蓝绿,perchouli,,黑,绿,11.53682806,-6.165203858,0.498021961
荷叶绿,perchouli,,青,绿,36.52516959,-54.36714989,15.19645466
荷叶绿,人造丝绸缎色谱_何进丰,,青,绿,45,-20,-2
荷叶绿,中国色名综览_凑幸卫,,青,绿,41.08321722,-22.54577435,1.784907358
田园绿,perchouli,,青,绿,67.14330499,-49.88093916,10.8875263
田园绿,中国色名综览_凑幸卫,,青,绿,75.54970342,-29.24331756,7.224022908
玉簪绿,perchouli,,青,绿,77.53816965,-22.25931976,3.712030171
玉簪绿,中国色名综览_凑幸卫,,白,绿,81.34788558,-7.278280122,-4.432416876
蟾绿,perchouli,,青,绿,53.47332746,-58.62965874,14.86008176
蟾绿,中国色名综览_凑幸卫,,青,绿,61.68114658,-28.77056628,7.116452127
剑鞘绿,中国色名综览_凑幸卫,,青,绿,50.577811,-7.171917962,1.832378167
蔻梢绿,perchouli,,青,绿,68.04403878,-60.38322153,14.59353165
蔻梢绿,中国色名综览_凑幸卫,,青,绿,76.52430446,-28.52068633,13.50776171
龟背灰绿,中国色名综览_凑幸卫,,青,绿,45.0424092,-7.021705104,1.834020785
薄荷绿,perchouli,,青,绿,44.77078056,-63.58465303,18.97931991
薄荷绿,人造丝绸缎色谱_何进丰,,青,绿,39,-15,-1
薄荷绿,中国色名综览_凑幸卫,,青,绿,51.57705746,-28.31319209,3.177094252
蛋白石绿,perchouli,,青,绿,55.40071041,-41.52364194,10.21783016
蛋白石绿,中国色名综览_凑幸卫,,青,绿,61.6597596,-9.463301494,0.53181972
竹篁绿,perchouli,,白,绿,84.68763877,-21.32772923,4.137817605
竹篁绿,中国色名综览_凑幸卫,,白,绿,83.85622832,-11.88986377,-0.972487844
雀绿,涤棉色谱_何进丰,涤棉：雀录,青,绿,46,-17,-15
雀绿,涤棉色谱_何进丰,涤棉：雀录,青,绿,47,-21,-17
孔雀绿,perchouli,,青,绿,51.78452915,-73.89101811,24.5176104
孔雀绿,钧瓷色彩的特征与分类体系研究_王庆斌,,青,绿,41.89120688,-26.89647391,1.288594916
孔雀绿,中国色名综览_凑幸卫,,青,绿,57.5597427,-39.9052715,4.719720358
孔雀绿,中国传统色彩图鉴_鸿洋,,青,绿,77.42391328,-101.8085499,27.08947656
宫殿绿,perchouli,,青,绿,48.07082685,-69.6093991,23.08298299
宫殿绿,中国色名综览_凑幸卫,,青,绿,53.84780825,-36.12602594,3.499540084
云杉绿,perchouli,,黑,绿,8.758425815,-12.78136917,3.327237951
云杉绿,中国色名综览_凑幸卫,,黑,绿,25.00698478,-18.08164319,1.504827046
毛绿,perchouli,,青,绿,69.45147623,-57.5036912,15.54166078
毛绿,DIC中国传统色,,黑,绿,34.48377292,-12.26522227,-11.65842776
毛绿,中国色名综览_凑幸卫,,青,绿,81.34788326,-28.70298556,13.76075547
暗橄榄绿,中国色名综览_凑幸卫,,青,绿,52.87247754,-14.07232657,5.192149054
独山玉绿,中国色名综览_凑幸卫,,青,绿,55.28700922,-12.57069975,4.507458308
松霜绿,perchouli,,青,绿,64.68307211,-23.94841046,7.839563673
松霜绿,中国色名综览_凑幸卫,,青,绿,66.70879326,-7.582542169,-0.199070603
白屈菜绿,perchouli,,黑,绿,35.77202496,-14.90972505,5.01742415
白屈菜绿,中国色名综览_凑幸卫,,青,绿,51.57711027,-7.370921902,0.104968463
葱油绿,中国色名综览_凑幸卫,,青,绿,43.98652244,-7.196851502,0.230193766
松绿,乾隆色谱,,黄,绿,43,-9,38
松绿,DIC中国传统色,,白,绿,80.29224659,-6.253988663,8.600748546
瓦松绿,perchouli,,青,绿,54.58465807,-20.70266458,7.801785661
瓦松绿,中国色名综览_凑幸卫,,青,绿,61.68118597,-7.786445519,-0.011086859
槲寄生绿,perchouli,,黑,绿,17.54703536,-5.570690831,2.113587068
槲寄生绿,中国色名综览_凑幸卫,,黑,绿,37.25324677,-7.050424917,0.384391563
淡翠绿,perchouli,,白,绿,86.09258979,-15.83719456,6.884333002
淡翠绿,中国色名综览_凑幸卫,,白,绿,85.33646221,-7.98293107,-1.98174752
白皮松绿,中国色名综览_凑幸卫,,白,绿,85.26932165,-7.927968799,-2.001322071
青菜绿,中国色名综览_凑幸卫,,青,绿,71.58316435,-51.09692881,45.4172776
玉髓绿,perchouli,,青,绿,62.30515944,-82.5246725,45.21587565
玉髓绿,中国色名综览_凑幸卫,,青,绿,71.57210026,-39.1499902,34.0917714
玉髓绿2,中国色名综览_凑幸卫,,青,绿,64.64196654,-32.96699066,15.06376178
柞蚕绿,中国色名综览_凑幸卫,,青,绿,56.16101872,-20.96541928,16.63242723
琉璃绿,中国色名综览_凑幸卫,,青,绿,61.650308,-39.31565449,33.66993992
玻璃绿,中国色名综览_凑幸卫,,白,绿,76.53155533,-7.690831721,1.771127841
深琉璃绿,中国色名综览_凑幸卫,,青,绿,44.44041996,-20.67551353,15.68618164
浮萍绿,中国色名综览_凑幸卫,,青,绿,45.48871458,-25.28456699,19.82933216
鲜绿,perchouli,,青,绿,62.03199755,-81.89812226,47.75815747
鲜绿,中国色名综览_凑幸卫,,青,绿,65.16233986,-38.10625837,17.80580312
宝石绿,perchouli,,青,绿,60.65096075,-81.88302954,50.52340007
宝石绿,中国色名综览_凑幸卫,,青,绿,64.38554823,-45.24500037,19.88354646
嘉陵水绿,perchouli,,青,绿,80.55745437,-29.09366961,19.65417333
嘉陵水绿,中国色名综览_凑幸卫,,白,绿,84.92377881,-22.35779174,18.77042227
嘉陵水绿2,中国色名综览_凑幸卫,,白,绿,81.32430987,-12.76944393,4.599286476
嫩荷绿,中国色名综览_凑幸卫,,白,绿,84.92377881,-22.35779174,18.77042227
纺织娘绿,中国色名综览_凑幸卫,,青,绿,74.56285817,-20.87219718,17.16674308
绣球绿,中国色名综览_凑幸卫,,白,绿,76.53166026,-6.888890697,4.488978
螳螂绿,中国色名综览_凑幸卫,,青,绿,76.52677155,-25.53126959,21.56127115
螳螂绿,中国色名综览_凑幸卫,,青,绿,76.52822625,-17.83377247,7.52702388
田螺绿,perchouli,,青,绿,41.93172104,-6.965339624,4.819320813
田螺绿,中国色名综览_凑幸卫,,青,绿,54.18474043,-7.60877817,0.127819295
水绿,乾隆色谱,,青,绿,46,-22,14
鹦鹉绿,perchouli,,黄,绿,61.86764169,-69.94667296,64.32159505
鹦鹉绿,DIC中国传统色,,青,绿,51.88611981,-43.63037339,20.9319234
鹦鹉绿,中国颜色_黄仁达,,青,绿,38.76757674,-69.59600389,40.61555161
鹦鹉绿,中国美色_中国国家地理,,青,绿,56.21515635,-88.63877645,53.86942516
鹦鹉绿,中国色名综览_凑幸卫,,黄,绿,64.14139573,-40.79767351,58.48845744
艾背绿,perchouli,,白,绿,91.73953319,-9.798094175,8.510763957
艾背绿,中国色名综览_凑幸卫,,白,绿,83.88773685,-7.008893896,4.640368883
艾背绿2,中国色名综览_凑幸卫,,白,绿,92.08225844,-8.20633707,1.911572388
橄榄石绿,perchouli,,青,绿,79.04410166,-26.91315859,32.84948387
橄榄石绿,人造丝绸缎色谱_何进丰,,青,绿,66,-9,18
橄榄石绿,中国色名综览_凑幸卫,,黄,绿,73.58394702,-27.2367791,36.27058801
芽绿,perchouli,,黄,绿,72.36174476,-42.00812679,55.88372953
芽绿,绞丝染色基本色谱,,白,绿,73,-9,20
芽绿,中国色名综览_凑幸卫,,黄,绿,71.58166833,-34.61783444,47.19695952
芽绿,中国传统色彩图鉴_鸿洋,,黄,绿,87.90464598,-63.79727202,93.47910604
翠屏绿,中国色名综览_凑幸卫,,白,绿,83.88772314,-5.591200478,7.356652701
马蹄莲绿,中国色名综览_凑幸卫,,白,绿,85.81844407,-5.607073114,7.463545164
嫩菊绿,perchouli,,白,绿,95.75529673,-4.709942473,6.134361644
嫩菊绿,中国色名综览_凑幸卫,,白,绿,95.07024883,-6.01280957,8.21402486
嫩菊绿2,中国色名综览_凑幸卫,,白,绿,91.08174716,-8.043421027,1.812721333
菊绿,中国色名综览_凑幸卫,,白,绿,82.23918206,-7.789206559,1.760164092
芦苇绿,perchouli,,黄,绿,79.5590268,-26.62796093,41.02762612
芦苇绿,中国色名综览_凑幸卫,,青,绿,74.56194755,-25.4997007,33.78227023
茵绿,中国色名综览_凑幸卫,,青,绿,71.5969489,-21.20454417,27.37835093
蒽油绿,perchouli,,黑,绿,21.88681427,-1.585365595,2.364311069
苹果绿,perchouli,,黄,绿,79.32695776,-26.74767427,52.54853258
苹果绿,钧瓷色彩的特征与分类体系研究_王庆斌,,黑,绿,24.65863727,-27.28143186,8.815538631
苹果绿,中国色名综览_凑幸卫,,黄,绿,75.54859711,-29.15506883,39.3229745
海沬绿,perchouli,,白,绿,90.44487293,-8.814431632,18.52509967
橄榄黄绿,perchouli,,黄,绿,77.8696842,-24.04317569,74.73377397
橄榄黄绿,人造丝绸缎色谱_何进丰,,黄,绿,71,-16,42
橄榄黄绿,中国色名综览_凑幸卫,,黄,绿,74.03904161,-24.80874988,58.96662048
槐花黄绿,perchouli,,黄,绿,84.42397847,-17.49159206,47.96899803
槐花黄绿,中国色名综览_凑幸卫,,黄,绿,81.33434851,-18.16940048,42.01295182
瓜皮绿,乾隆色谱,,黑,绿,20,-6,5
瓜皮绿,绞丝染色基本色谱,,青,绿,68,-30,32
瓜皮绿,钧瓷色彩的特征与分类体系研究_王庆斌,,青,绿,36.17158729,-41.56285348,16.15097252
牙绿,DIC中国传统色,,黄,绿,89.06236637,-14.14925916,37.95247011
苦瓜绿,DIC中国传统色,,黄,绿,85.26322358,-17.96970024,39.66138217
嫩草绿,DIC中国传统色,,黄,绿,65.81369838,-16.53071148,45.15119212
铜绿色,DIC中国传统色,,青,绿,72.61208962,-13.4906545,18.16299199
铜绿色,中国色名综览_凑幸卫,,青,绿,63.82898828,-35.31709505,-0.593949674
