color,from,l,a,b
豆青,钧瓷色彩的特征与分类体系研究_王庆斌,48.2986379680183,11.9676979931693,27.2288966180807
豆青,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,54.23,-5.94,5.5
豆青,国标,85.8,-9.4,-7.5
豆沙,中国传统色彩图鉴_鸿洋,39.594,26.637,10.417
豆沙,染色样本硫化类_何进丰,61,10,12
豆沙,染色样本士林类_何进丰,48,14,15
豆沙,色谱_perchouli,17.416,19.846,10.943
鹅黄,古色之美_青简,89.289,-5.771,60.97
鹅黄,染作江南春水色_金成熺,77.89,-10.8,20.2
鹅黄,中国颜色_黄仁达,77.401,10.484,79.833
鹅黄,DIC中国传统色,68.09,18.638,66.518
鹅黄,国标,80.1,17.8,60.1
妃色,中国传统色彩图鉴_鸿洋,45.643,43.74,33.229
妃色,中国美色_中国国家地理,45.972,63.575,43.967
妃色,DIC中国传统色,77.936,13.662,1.155
妃色,国标,77.7,22.2,6.2
粉红,中国色名综览_凑幸卫,76.0076017730568,24.0204487365848,2.59597375209952
粉红,中国传统色彩图鉴_鸿洋,83.35,14.443,-0.142
粉红,染色样本纳夫妥类_何进丰,60,54,7
粉红,染色样本士林类_何进丰,69,42,4
粉红,色谱_perchouli,80.063,19.577,11.524
粉红,国标,77.8,20.6,1
橄榄灰,中国色名综览_凑幸卫,51.5771800456279,1.90496958785435,11.0594350341278
橄榄灰,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,32.59,-0.33,3.98
橄榄灰,DIC中国传统色,62.003,-8.686,7.118
橄榄灰,色谱_perchouli,27.623,4.766,15.282
橄榄绿,中国色名综览_凑幸卫,41.2170195477363,-6.6185223625281,41.2218912696676
橄榄绿,人造丝绸缎色谱_何进丰,46,-11,24
橄榄绿,DIC中国传统色,39.92,-6.167,22.421
橄榄绿,色谱_perchouli,35.236,-3.231,36.352
橄榄绿,国标,43.5,-0.9,30.5
绀紫,中国色名综览_凑幸卫,33.6200125568385,25.3951058222188,-7.12617916075102
绀紫,中国传统色彩图鉴_鸿洋,26.858,12.435,-22.343
绀紫,中国美色_中国国家地理,32.087,31.741,-25.033
绀紫,色谱_perchouli,15.677,25.133,-0.841
钴蓝,中国色名综览_凑幸卫,66.5219111384711,-14.7290750046535,-33.798269404858
钴蓝,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,71.78,-17.97,-6.41
钴蓝,DIC中国传统色,61.197,-3.995,-15.102
钴蓝,色谱_perchouli,57.102,-17.26,-29.627
钴蓝,国标,42.2,-0.6,-46.7
果绿,涤棉色谱_何进丰,66,-37,29
果绿,绞丝染色基本色谱_何进丰,56,-32,32
果绿,染色样本士林类_何进丰,66,-30,13
果绿,DIC中国传统色,73.934,-22.084,23.377
果绿,国标,55.8,-33.7,28.2
海棠红,中国色名综览_凑幸卫,53.0574825177649,60.1512244827651,14.2057371325242
海棠红,中国美色_中国国家地理,51.317,46.973,12.192
海棠红,钧瓷色彩的特征与分类体系研究_王庆斌,45.868128291391,55.0769035272839,38.2668443766742
海棠红,色谱_perchouli,53.892,69.743,29.794
海棠红,国标,45.2,52,19.2
褐色,中国美色_中国国家地理,36.013,8.236,24.323
褐色,古色之美_青简,64.473,28.411,40.918
